"","관측소명","GENNUM","관측소표준코드","최초설치","구분","설치년도","경도.도","경도.분","경도.초","위도.도","위도.분","위도.초","표고.El.m.","심도.m.","경도","위도"
"153","순천외서",9897,"JN-SCN-L1-0004","국가","충적",1997,127,16,44,34,54,39,201.71,12.04,127.2768917,34.91396667
"154","순천주암",717013,"JN-SCN-L1-0009","국가","암반",2017,127,18,17,35,1,50,203.89,100,127.3048361,35.030525
"155","순천풍덕",6752,"JN-SCN-L1-0001","국가","암반",1995,127,30,39,34,56,3,6.295,60,127.5084639,34.93701389
"156","순천풍덕",6753,"JN-SCN-L1-0002","국가","충적",1995,127,30,39,34,56,3,6.436,10,127.5084639,34.93701389
"157","순천황전",65059,"JN-SCN-L1-0007","국가","암반",1999,127,25,44,35,5,54,69.316,70,127.4275111,35.10125
"158","순천황전",65060,"JN-SCN-L1-0008","국가","충적",1999,127,25,44,35,5,54,69.311,21.59,127.4275111,35.10125
"159","신안신용",NA,"JN-SAN-E1-0002","수질","심부1",2018,NA,NA,NA,NA,NA,NA,18.269,32,126.3099444,34.87138889
"160","신안신용",771479,"JN-SAN-E1-0003","수질","심부2",2018,NA,NA,NA,NA,NA,NA,18.281,83,126.3099444,34.87138889
"161","신안신용",771480,"JN-SAN-E1-0001","수질","천부",2018,NA,NA,NA,NA,NA,NA,18.277,11,126.3099444,34.87138889
"162","신안신장",NA,"JN-SAN-E1-0005","수질","심부1",2018,NA,NA,NA,NA,NA,NA,22.511,43,126.3511917,34.83238611
"163","신안신장",771481,"JN-SAN-E1-0006","수질","심부2",2018,NA,NA,NA,NA,NA,NA,22.403,80,126.3511917,34.83238611
"164","신안신장",771480,"JN-SAN-E1-0004","수질","천부",2018,NA,NA,NA,NA,NA,NA,22.417,20,126.3511917,34.83238611
"165","여수둔전",NA,"JN-RSU-E1-0005","수질","심부1",2018,127,46,19.05,34,39,10.5,56.145,30,127.7719583,34.65291667
"166","여수둔전",737632,"JN-RSU-E1-0006","수질","심부2",2018,127,46,19.05,34,39,10.5,56.172,80,127.7719583,34.65291667
"167","여수둔전",737631,"JN-RSU-E1-0004","수질","천부",2018,127,46,19.05,34,39,10.5,56.205,10,127.7719583,34.65291667
"168","여수소라",82035,"JN-RSU-L1-0001","국가","암반",2002,127,37,14,34,46,25,48.08,70,127.6186417,34.7769
"169","여수오림",NA,"JN-RSU-E1-0002","수질","심부1",2014,NA,NA,NA,NA,NA,NA,88.37,34.5,127.7280111,34.76266944
"170","여수오림",771487,"JN-RSU-E1-0003","수질","심부2",2014,NA,NA,NA,NA,NA,NA,88.37,80,127.7280111,34.76266944
"171","여수오림",771488,"JN-RSU-E1-0001","수질","천부",2014,NA,NA,NA,NA,NA,NA,88.37,15,127.7280111,34.76266944
"172","여수평여",612030,"JN-RSU-L1-0002","국가","암반",2012,127,40,17,34,48,38,28.853,100,127.6714917,34.81080833
"173","영광불갑",82036,"JN-YGG-L1-0001","국가","암반",2002,126,30,32,35,12,21,27.462,70,126.5069611,35.20906389
"174","영암금계",NA,"JN-YAM-E1-0014","수질","심부1",2018,126,35,49.86,34,43,11.02,18.821,38,126.5971833,34.71972778
"175","영암금계",737648,"JN-YAM-E1-0015","수질","심부2",2018,126,35,49.86,34,43,11.02,18.834,80,126.5971833,34.71972778
"176","영암금계",737647,"JN-YAM-E1-0013","수질","천부",2018,126,35,49.86,34,43,11.02,18.852,10,126.5971833,34.71972778
"177","영암덕화",NA,"JN-YAM-E1-0005","수질","심부1",2017,126,38,10.56,34,50,7.08,6.98,30,126.6362667,34.8353
"178","영암덕화",737650,"JN-YAM-E1-0006","수질","심부2",2017,126,38,10.56,34,50,7.08,6.98,80,126.6362667,34.8353
"179","영암덕화",737649,"JN-YAM-E1-0004","수질","천부",2017,126,38,10.56,34,50,7.08,6.98,10,126.6362667,34.8353
"180","영암미암",615519,"JN-YAM-L1-0003","국가","암반",2013,126,34,59,34,41,50,23.53,100,126.5829694,34.69708611
"181","영암미암",615520,"JN-YAM-L1-0004","국가","충적",2013,126,34,59,34,41,49,23.55,25,126.5829694,34.69708611
"182","영암영암",514306,"JN-YAM-L1-0001","국가","암반",2010,126,42,36,34,48,25,8.38,100,126.7079861,34.81016944
"183","영암영암",514307,"JN-YAM-L1-0002","국가","충적",2010,126,42,36,34,48,25,8.38,18,126.7079861,34.81016944
"184","영암옥야",NA,"JN-YAM-E1-0002","수질","심부1",2014,126,35,14.04,34,53,44.99,10,33,126.5872333,34.89583056
"185","영암옥야",737652,"JN-YAM-E1-0003","수질","심부2",2014,126,35,14.04,34,53,44.99,10,85,126.5872333,34.89583056
"186","영암옥야",737651,"JN-YAM-E1-0001","수질","천부",2014,126,35,14.04,34,53,44.99,10,10,126.5872333,34.89583056
"187","영암용앙",NA,"JN-YAM-E1-0017","수질","심부1",2018,126,28,8.76,34,44,59.61,17.375,33,126.4691,34.74989167
"188","영암용앙",769805,"JN-YAM-E1-0018","수질","심부2",2018,126,28,8.76,34,44,59.61,17.338,90,126.4691,34.74989167
"189","영암용앙",769806,"JN-YAM-E1-0016","수질","천부",2018,126,28,8.76,34,44,59.61,17.425,15,126.4691,34.74989167
"190","영암장천",NA,"JN-YAM-E1-0008","수질","심부1",2017,126,34,54.04,34,45,19.35,18.14,30,126.5816778,34.755375
"191","영암장천",737654,"JN-YAM-E1-0009","수질","심부2",2017,126,34,54.04,34,45,19.35,18.14,80,126.5816778,34.755375
"192","영암장천",737653,"JN-YAM-E1-0007","수질","천부",2017,126,34,54.04,34,45,19.35,18.14,10,126.5816778,34.755375
"193","영암학산",615521,"JN-YAM-L1-0005","국가","암반",2013,126,35,6,34,43,40,33.23,100,126.58505,34.72788056
"194","영암회문",737655,"JN-YAM-E1-0011","수질","심부1",2018,126,41,7.44,34,47,35.93,23.265,30,126.6854,34.79331389
"195","영암회문",737656,"JN-YAM-E1-0012","수질","심부2",2018,126,41,7.44,34,47,35.93,23.235,70.5,126.6854,34.79331389
"196","영암회문",NA,"JN-YAM-E1-0010","수질","천부",2018,126,41,7.44,34,47,35.93,23.248,10,126.6854,34.79331389
"197","완도가용",NA,"JN-WDO-E1-0005","수질","심부1",2018,126,44,2.18,34,19,9.64,4.312,35,126.7339389,34.31934444
"198","완도가용",737664,"JN-WDO-E1-0006","수질","심부2",2018,126,44,2.18,34,19,9.64,4.347,80,126.7339389,34.31934444
"199","완도가용",737663,"JN-WDO-E1-0004","수질","천부",2018,126,44,2.18,34,19,9.64,4.276,21,126.7339389,34.31934444
"200","완도군외",612004,"JN-WDO-L1-0001","국가","암반",2012,126,40,6,34,20,51,146.87,100,126.6682472,34.34744167
"201","완도덕암",NA,"JN-WDO-E1-0002","수질","심부1",2018,126,48,15.11,34,24,0.02,25.029,30,126.8041972,34.40000556
"202","완도덕암",769809,"JN-WDO-E1-0003","수질","심부2",2018,126,48,15.11,34,24,0.02,25.013,80,126.8041972,34.40000556
"203","완도덕암",769810,"JN-WDO-E1-0001","수질","천부",2018,126,48,15.11,34,24,0.02,24.993,13.5,126.8041972,34.40000556
"204","임실덕치",514701,"JB-ISL-L1-0006","국가","암반",2001,127,9,6,35,28,14,196.6,120,127.1524528,35.47365556
"205","임실덕치",514702,"JB-ISL-L1-0007","국가","충적",2001,127,9,6,35,28,14,196.6,10.36,127.1524528,35.47365556
"206","임실관촌",771366,"","국가","암반",2021,NA,NA,NA,NA,NA,NA,NA,NA,127.2698639,35.67146111
"207","임실쌍암",NA,"JB-ISL-E1-0002","수질","심부1",2011,127,9,30.33,35,39,50.28,220,32,127.1578861,35.66402222
"208","임실쌍암",769819,"JB-ISL-E1-0003","수질","심부2",2011,127,9,30.33,35,39,50.28,220,80,127.1578861,35.66402222
"209","임실쌍암",769820,"JB-ISL-E1-0001","수질","천부",2011,127,9,30.33,35,39,50.28,220,13,127.1578861,35.66402222
"210","임실오수",514310,"JB-ISL-L1-0004","국가","암반",2010,127,19,38,35,31,39,116.75,100,127.3274028,35.52761944
"211","임실오수",514311,"JB-ISL-L1-0005","국가","충적",2010,127,19,37,35,31,37,116.75,15,127.3274028,35.52761944
"212","임실오수2",NA,"JB-ISL-E1-0005","수질","심부1",2017,127,19,58.9,35,32,43.84,123.882,30,127.3330167,35.54558333
"213","임실오수2",737688,"JB-ISL-E1-0006","수질","심부2",2017,127,19,58.9,35,32,43.84,123.718,80,127.3330167,35.54558333
"214","임실오수2",737687,"JB-ISL-E1-0004","수질","천부",2017,127,19,58.9,35,32,43.84,123.971,10,127.3330167,35.54558333
"215","임실임실",9906,"JB-ISL-L1-0001","국가","암반",1997,127,17,43,35,37,22,222.2,69,127.2933167,35.62617778
"216","장성남면",73528,"JN-JSG-L1-0003","국가","암반",2001,126,48,54,35,14,39,40.992,70,126.8129917,35.24734444
"217","장성남면",73529,"JN-JSG-L1-0004","국가","충적",2001,126,48,54,35,14,39,40.988,14,126.8129917,35.24734444
"218","장성북이",82037,"JN-JSG-L1-0005","국가","암반",2002,126,48,8,35,23,56,84.893,70,126.8009278,35.40238889
"219","장성북이",82038,"JN-JSG-L1-0006","국가","충적",2002,126,48,8,35,23,56,84.877,10,126.8009278,35.40238889
"220","장성분향",NA,"JN-JSG-E1-0002","수질","심부1",2010,126,48,44.21,35,14,35.92,35.1,33,126.8122806,35.24331111
"221","장성분향",769821,"JN-JSG-E1-0003","수질","심부2",2010,126,48,44.21,35,14,35.92,35.1,80,126.8122806,35.24331111
"222","장성분향",769822,"JN-JSG-E1-0001","수질","천부",2010,126,48,44.21,35,14,35.92,35.1,11.5,126.8122806,35.24331111
"223","장성삼계",622082,"JN-JSG-L1-0007","국가","암반",2014,126,37,13,35,18,2,228.48,176,126.6202778,35.30055556
"224","장성아곡",NA,"JN-JSG-E1-0008","수질","심부1",2014,NA,NA,NA,NA,NA,NA,92,30,126.7287528,35.31679167
"225","장성아곡",771517,"JN-JSG-E1-0009","수질","심부2",2014,NA,NA,NA,NA,NA,NA,92,80,126.7287528,35.31679167
"226","장성아곡",771518,"JN-JSG-E1-0007","수질","천부",2014,NA,NA,NA,NA,NA,NA,92,10,126.7287528,35.31679167
"227","장성약수",NA,"JN-JSG-E1-0005","수질","심부1",2014,NA,NA,NA,NA,NA,NA,139,31,126.8796528,35.42993333
"228","장성약수",771519,"JN-JSG-E1-0006","수질","심부2",2014,NA,NA,NA,NA,NA,NA,139,80,126.8796528,35.42993333
"229","장성약수",771520,"JN-JSG-E1-0004","수질","천부",2014,NA,NA,NA,NA,NA,NA,139,10,126.8796528,35.42993333
"230","장성영천",NA,"JN-JSG-E1-0011","수질","심부1",2014,NA,NA,NA,NA,NA,NA,194,40,126.7855361,35.29710278
"231","장성영천",771521,"JN-JSG-E1-0012","수질","심부2",2014,NA,NA,NA,NA,NA,NA,194,80,126.7855361,35.29710278
"232","장성영천",771520,"JN-JSG-E1-0010","수질","천부",2014,NA,NA,NA,NA,NA,NA,194,20,126.7855361,35.29710278
"233","장수번암",73524,"JB-JSU-L1-0005","국가","암반",2001,127,29,57,35,32,42,312.363,70,127.4971111,35.54823056
"234","장수산서",9907,"JB-JSU-L1-0001","국가","암반",1997,127,23,38,35,34,49,147.4,69,127.3925889,35.58329444
"235","장수산서",9908,"JB-JSU-L1-0002","국가","충적",1997,127,23,38,35,34,49,147.38,10.5,127.3925889,35.58329444
"236","장흥신월",NA,"JN-JHG-E1-0002","수질","심부1",2014,NA,NA,NA,NA,NA,NA,124,30,126.8331389,34.76720556
"237","장흥신월",771523,"JN-JHG-E1-0003","수질","심부2",2014,NA,NA,NA,NA,NA,NA,124,80,126.8331389,34.76720556
"238","장흥신월",771524,"JN-JHG-E1-0001","수질","천부",2014,NA,NA,NA,NA,NA,NA,124,10,126.8331389,34.76720556
"239","장흥장흥",65037,"JN-JHG-L1-0001","국가","암반",1998,126,53,24,34,41,7,23.98,64,126.8910722,34.68853889
"240","장흥장흥",65038,"JN-JHG-L1-0002","국가","충적",1998,126,53,24,34,41,7,23.98,11.7,126.8910722,34.68853889
"241","제주노형",95534,"JJ-JJU-L1-0001","국가","암반",2005,126,29,4,33,26,35,271.17,400,126.4825,33.44635833
"242","제주동홍",95535,"JJ-SGD-L1-0001","국가","암반",2005,126,34,8,33,16,20,187.7,340,126.5668194,33.27546389
"243","제주조천",95537,"JJ-JJU-L1-0002","국가","암반",2005,126,43,37,33,25,28,342.6,490,126.7248361,33.42769722
"244","제주한경",95536,"JJ-JJU-L1-0003","국가","암반",2005,126,16,21,33,19,8,139.81,400,126.2706417,33.322375
"245","진도석교",NA,"JN-JHD-E1-0002","수질","심부1",2018,126,11,27.18,34,24,22.51,5.855,30,126.1908833,34.40625278
"246","진도석교",737694,"JN-JHD-E1-0003","수질","심부2",2018,126,11,27.18,34,24,22.51,5.795,80,126.1908833,34.40625278
"247","진도석교",737693,"JN-JHD-E1-0001","수질","천부",2018,126,11,27.18,34,24,22.51,5.844,10,126.1908833,34.40625278
"248","진도의신",95528,"JN-JHD-L1-0001","국가","암반",2005,126,16,53,34,25,45,14.75,70,126.2794361,34.43232222
"249","진안덕현",NA,"JB-JIN-E1-0002","수질","심부1",2014,NA,NA,NA,NA,NA,NA,364,33,127.3807917,35.68413889
"250","진안덕현",771529,"JB-JIN-E1-0003","수질","심부2",2014,NA,NA,NA,NA,NA,NA,364,80,127.3807917,35.68413889
"251","진안덕현",771530,"JB-JIN-E1-0001","수질","천부",2014,NA,NA,NA,NA,NA,NA,364,10,127.3807917,35.68413889
"252","진안마령",65039,"JB-JIN-L1-0001","국가","암반",1998,127,22,12,35,43,54,279.65,71,127.3708917,35.734575
"253","하동양보",82047,"GN-HDG-L1-0005","국가","암반",2002,127,50,51,35,2,47,30.122,70,127.8455778,35.04948333
"254","하동진정",NA,"GN-HDG-E1-0002","수질","심부1",2011,127,49,29.95,34,59,9.62,17.7,30,127.8249861,34.98600556
"255","하동진정",737728,"GN-HDG-E1-0003","수질","심부2",2011,127,49,29.95,34,59,9.62,17.7,80,127.8249861,34.98600556
"256","하동진정",737727,"GN-HDG-E1-0001","수질","천부",2011,127,49,29.95,34,59,9.62,17.7,15,127.8249861,34.98600556
"257","하동하동",11780,"GN-HDG-L1-0001","국가","암반",1996,127,44,36,35,4,6,7.66,64,127.7410444,35.07117778
"258","하동하동",11781,"GN-HDG-L1-0002","국가","충적",1996,127,44,36,35,4,6,7.66,10.7,127.7410444,35.07117778
"259","하동화개",73549,"GN-HDG-L1-0003","국가","암반",2001,127,40,47,35,8,23,15.644,70,127.6652083,35.15655278
"260","하동화개",73550,"GN-HDG-L1-0004","국가","충적",2001,127,40,47,35,8,23,15.627,12,127.6652083,35.15655278
"261","함평신광",9899,"JN-HPG-L1-0001","국가","암반",1997,126,29,54,35,8,35,40.56,70,126.4972611,35.15408889
"262","함평신광",9900,"JN-HPG-L1-0002","국가","충적",1997,126,29,54,35,8,35,40.52,12.61,126.4972611,35.15408889
"263","함평엄다",NA,"JN-HPG-E1-0002","수질","심부1",2014,126,30,57.31,35,0,38.53,15,30,126.5159194,35.01070278
"264","함평엄다",737730,"JN-HPG-E1-0003","수질","심부2",2014,126,30,57.31,35,0,38.53,15,85,126.5159194,35.01070278
"265","함평엄다",737729,"JN-HPG-E1-0001","수질","천부",2014,126,30,57.31,35,0,38.53,15,10,126.5159194,35.01070278
"266","함평운교",NA,"JN-HPG-E1-0005","수질","심부1",2014,NA,NA,NA,NA,NA,NA,64,30,126.5006972,35.13585556
"267","함평운교",771555,"JN-HPG-E1-0006","수질","심부2",2014,NA,NA,NA,NA,NA,NA,64,80,126.5006972,35.13585556
"268","함평운교",771556,"JN-HPG-E1-0004","수질","천부",2014,NA,NA,NA,NA,NA,NA,64,10,126.5006972,35.13585556
"269","함평월야",514308,"JN-HPG-L1-0003","국가","암반",2010,127,37,27,35,11,59,30.67,100,126.6242889,35.19975556
"270","함평월야",514309,"JN-HPG-L1-0004","국가","충적",2010,127,37,27,35,11,59,30.67,15,126.6242889,35.19975556
"271","함평월야2",NA,"JN-HPG-E1-0009","수질","심부1",2017,126,37,30.25,35,10,49.99,30.43,30,126.6250694,35.18055278
"272","함평월야2",737732,"JN-HPG-E1-0010","수질","심부2",2017,126,37,30.25,35,10,49.99,30.43,80,126.6250694,35.18055278
"273","함평월야2",737731,"JN-HPG-E1-0008","수질","천부",2017,126,37,30.25,35,10,49.99,30.43,10,126.6250694,35.18055278
"274","해남상가",NA,"JN-HAE-E1-0002","수질","심부1",2013,NA,NA,NA,NA,NA,NA,76.683,30,126.6391083,34.52936389
"275","해남상가",NA,"JN-HAE-E1-0003","수질","심부2",2013,NA,NA,NA,NA,NA,NA,76.683,80,126.6391083,34.52936389
"276","해남상가",NA,"JN-HAE-E1-0001","수질","천부",2013,NA,NA,NA,NA,NA,NA,76.683,10,126.6391083,34.52936389
"277","해남북일",771367,"","","암반",2021,NA,NA,NA,NA,NA,NA,NA,NA,126.7129139,34.46553333
"278","해남북일",771388,"","","충적",2021,NA,NA,NA,NA,NA,NA,NA,NA,126.7129139,34.46553333
"279","해남옥천",622084,"JN-HAE-L1-0003","국가","암반",2014,126,38,35,34,36,37,11.19,100,126.6430556,34.61027778
"280","해남우항",NA,"JN-HAE-E1-0008","수질","심부1",2014,126,26,10.5,34,34,38.62,12,60,126.43625,34.57739444
"281","해남우항",737736,"JN-HAE-E1-0009","수질","심부2",2014,126,26,10.5,34,34,38.62,12,90,126.43625,34.57739444
"282","해남우항",737735,"JN-HAE-E1-0007","수질","천부",2014,126,26,10.5,34,34,38.62,12,30,126.43625,34.57739444
"283","해남해남",9901,"JN-HAE-L1-0001","국가","암반",1997,126,35,35,34,33,16,48.76,76,126.5908583,34.55814722
"284","해남현산",65599,"JN-HAE-L1-0002","국가","암반",2000,126,35,13,34,25,35,14.074,70,126.5849778,34.42958611
"285","해남화내",NA,"JN-HAE-E1-0005","수질","심부1",2014,NA,NA,NA,NA,NA,NA,16,35,126.5687361,34.62164167
"286","해남화내",771559,"JN-HAE-E1-0006","수질","심부2",2014,NA,NA,NA,NA,NA,NA,16,85,126.5687361,34.62164167
"287","해남화내",771560,"JN-HAE-E1-0004","수질","천부",2014,NA,NA,NA,NA,NA,NA,16,10,126.5687361,34.62164167
"288","화순남면",87258,"JN-HSN-L1-0006","국가","암반",2004,127,7,22,34,59,51,113.14,70,127.1208778,35.00063611
"289","화순능주",9902,"JN-HSN-L1-0001","국가","암반",1997,126,57,16,35,0,54,42.77,62,126.9529444,35.01691389
"290","화순능주",9903,"JN-HSN-L1-0002","국가","충적",1997,126,57,16,35,0,54,42.8,6.4,126.9529444,35.01691389
"291","화순독상",NA,"JN-HSN-E1-0011","수질","심부1",2018,127,7,42.66,35,4,8.39,128.946,30,127.1285167,35.06899722
"292","화순독상",737740,"JN-HSN-E1-0012","수질","심부2",2018,127,7,42.66,35,4,8.39,128.923,80,127.1285167,35.06899722
"293","화순독상",737739,"JN-HSN-E1-0010","수질","천부",2018,127,7,42.66,35,4,8.39,128.832,10,127.1285167,35.06899722
"294","화순북면",65080,"JN-HSN-L1-0003","국가","암반",1999,127,8,21,35,11,26,260.319,70,127.1368917,35.19255833
"295","화순원천",NA,"JN-HSN-E1-0008","수질","심부1",2014,NA,NA,NA,NA,NA,NA,73.8,34.5,126.8967722,34.93765833
"296","화순원천",771569,"JN-HSN-E1-0009","수질","심부2",2014,NA,NA,NA,NA,NA,NA,73.8,80,126.8967722,34.93765833
"297","화순원천",771570,"JN-HSN-E1-0007","수질","천부",2014,NA,NA,NA,NA,NA,NA,73.8,15,126.8967722,34.93765833
"298","화순이양",73530,"JN-HSN-L1-0004","국가","암반",2001,127,1,57,34,51,40,96.312,70,127.03055,34.86439444
"299","화순이양",73531,"JN-HSN-L1-0005","국가","충적",2001,127,1,57,34,51,40,96.322,10,127.03055,34.86439444
"300","화순이천",NA,"JN-HSN-E1-0002","수질","심부1",2011,127,8,0.83,35,10,9.31,229.5,30,127.1335639,35.16925278
"301","화순이천",737742,"JN-HSN-E1-0003","수질","심부2",2011,127,8,0.83,35,10,9.31,229.5,80,127.1335639,35.16925278
"302","화순이천",737741,"JN-HSN-E1-0001","수질","천부",2011,127,8,0.83,35,10,9.31,229.5,17,127.1335639,35.16925278
"303","화순천암",NA,"JN-HSN-E1-0005","수질","심부1",2014,126,54,29.82,35,0,45.14,32.95,30,126.9082833,35.01253889
"304","화순천암",737744,"JN-HSN-E1-0006","수질","심부2",2014,126,54,29.82,35,0,45.14,32.95,80,126.9082833,35.01253889
"305","화순천암",737743,"JN-HSN-E1-0004","수질","천부",2014,126,54,29.82,35,0,45.14,32.95,10,126.9082833,35.01253889
